id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6467,UKBB,large_airport,"Boryspil International Airport",50.345001,30.894699,427,EU,Ukraine,UA,"Kyiv Oblast",UA-32,32,Boryspil,1,UKBB,KBP,,https://kbp.aero/en/,https://en.wikipedia.org/wiki/Boryspil_International_Airport,"Borispol, Міжнародний аеропорт ""Бориспіль"", Kyiv",1600,2022-11-20T09:05:31+00:00
6478,UKKK,medium_airport,"Ihor Sikorsky Kyiv International Airport (Zhuliany)",50.40194,30.45194,587,EU,Ukraine,UA,"Kyiv (city)",UA-30,30,Kyiv,1,UKKK,IEV,,https://iev.aero/,https://en.wikipedia.org/wiki/Kyiv_International_Airport_(Zhuliany),"Міжнародний аеропорт ""Київ"", Kiev",750,2022-11-20T09:02:37+00:00
6487,UKOO,medium_airport,"Odessa International Airport",46.4268,30.6765,172,EU,Ukraine,UA,"Odessa Oblast",UA-51,51,Odessa,1,UKOO,ODS,,http://www.airport.od.ua/,https://en.wikipedia.org/wiki/Odessa_International_Airport,"Odesa Central, Міжнародний аеропорт Одеса",750,2021-11-20T16:17:31+00:00
6481,UKLL,large_airport,"Lviv International Airport",49.8125,23.9561,1071,EU,Ukraine,UA,"Lviv Oblast",UA-46,46,Lviv,1,UKLL,LWO,,http://www.airport.lviv.ua/index.php?id=home&L=1,https://en.wikipedia.org/wiki/Lviv_International_Airport,"Міжнародний аеропорт ""Львів""",1200,2021-08-01T05:06:08+00:00
6474,UKFF,medium_airport,"Simferopol International Airport",45.0522,33.975101,639,EU,Ukraine,UA,"Crimea (Autonomous Republic)",UA-43,43,Simferopol,1,UKFF,SIP,URFF,https://new.sipaero.ru/,https://en.wikipedia.org/wiki/Simferopol_International_Airport,,750,2021-12-18T15:15:44+00:00
6476,UKHH,medium_airport,"Kharkiv International Airport",49.924801,36.290001,508,EU,Ukraine,UA,"Kharkiv Oblast",UA-63,63,Kharkiv,1,UKHH,HRK,,http://www.airport.kharkov.ua/,https://en.wikipedia.org/wiki/Kharkiv_International_Airport,"Osnova International Airport, Міжнародний аеропорт ""Харків""",750,2021-11-21T15:58:36+00:00
6471,UKDD,medium_airport,"Dnipro International Airport",48.357201,35.100601,481,EU,Ukraine,UA,"Dnipropetrovsk (Sicheslav) Oblast",UA-12,12,Dnipro,1,UKDD,DNK,,,https://en.wikipedia.org/wiki/Dnipro_International_Airport,"Dnipropetrovsk, Міжнародний аеропорт «Дніпро»",750,2022-10-13T16:03:56+00:00
6485,UKLU,medium_airport,"Uzhhorod International Airport",48.634300231933594,22.263399124145508,383,EU,Ukraine,UA,"Zakarpattia Oblast",UA-21,21,Uzhhorod,1,UKLU,UDJ,,,https://en.wikipedia.org/wiki/Uzhhorod_International_Airport,"Міжнародний аеропорт ""Ужгород""",750,2009-02-18T20:01:50+00:00
6472,UKDE,medium_airport,"Zaporizhzhia International Airport",47.867000579833984,35.31570053100586,373,EU,Ukraine,UA,"Zaporizhia Oblast",UA-23,23,Zaporizhia,1,UKDE,OZH,,,https://en.wikipedia.org/wiki/Zaporizhia_International_Airport,"Zaporozhye Airport, Міжнародний аеропорт Запоріжжя, Аэропорт Запорожье",750,2009-03-19T16:43:50+00:00
